Serial Number,Name of the Venue,Address of the Venue,Price of the Venue,Dates Unavailable,rating
1,Royal Palace,Delhi,3000,"2025-04-14;2025-04-20",4.2
2,Lakeview Resort,Mumbai,5000,"2025-04-13",4.6
3,Garden Paradise,Bangalore,2500,"",4.1
4,City Hall,Chennai,4000,"2025-04-15",3.9
5,Skyline Venue,Hyderabad,6000,"",4.8
6,Green Valley,Kolkata,3500,"2025-04-16;2025-04-18",4.0
7,Sunset Grounds,Pune,2800,"2025-04-17",3.8
8,Blue Horizon,Jaipur,4200,"2025-04-14;2025-04-19",4.5
9,Ocean Breeze,Goa,5500,"2025-04-13;2025-04-16",4.7
10,Starlight Arena,Ahmedabad,3200,"",4.3
